City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
41,Esperance,-33.8667,121.9,300.72,47,0,6.06,AU,2023-01-24 04:55:23
42,Pajapan,18.25,-94.7,293.62,91,4,2.08,MX,2023-01-24 04:55:23
43,Huambo,-12.7761,15.7392,286.71,94,100,0.73,AO,2023-01-24 04:55:24
44,Wenshang,35.7275,116.4961,267.18,10,0,5.02,CN,2023-01-24 04:56:24
45,Victoria,22.2855,114.1577,291.07,46,97,8.94,HK,2023-01-24 04:51:59
46,Manono,-7.3,27.4167,293.06,87,98,1.2,CD,2023-01-24 04:56:25
47,Sorong,-0.8833,131.25,301.64,69,100,2.55,ID,2023-01-24 04:56:25
48,Port Lincoln,-34.7333,135.8667,293.57,63,19,7.11,AU,2023-01-24 04:56:25
49,Bandarbeyla,9.4942,50.8122,298.35,58,74,8.85,SO,2023-01-24 04:56:26
50,San Martin,-33.081,-68.4681,300.45,51,1,5.45,AR,2023-01-24 04:56:26
51,Hermanus,-34.4187,19.2345,292.12,77,3,7.63,ZA,2023-01-24 04:56:26
52,Athabasca,54.7169,-113.2854,271.38,90,98,3.23,CA,2023-01-24 04:56:27
53,Avarua,-21.2078,-159.775,300.18,78,20,2.06,CK,2023-01-24 04:56:27
54,Santo Antonio Do Ica,-3.1022,-67.9397,295.62,99,100,0.94,BR,2023-01-24 04:56:27
55,Chengde,40.9725,117.9361,259.67,43,0,7.44,CN,2023-01-24 04:56:28
56,Ham Lake,45.2502,-93.2499,273.18,80,100,4.63,US,2023-01-24 04:56:28
57,Winnemucca,40.973,-117.7357,270.51,70,49,1.36,US,2023-01-24 04:56:28
58,Saint-Leu,-21.15,55.2833,297.63,86,100,1.13,RE,2023-01-24 04:56:29
59,Fort Nelson,58.8053,-122.7002,265.92,93,100,0.0,CA,2023-01-24 04:56:29
60,Inuvik,68.3499,-133.7218,250.63,80,75,2.57,CA,2023-01-24 04:56:29
61,San Felipe,10.3399,-68.7425,295.17,95,99,1.19,VE,2023-01-24 04:56:30
62,Ayorou,14.7308,0.9174,296.12,17,7,3.18,NE,2023-01-24 04:56:30
63,Beloha,-25.1667,45.05,299.79,68,100,8.46,MG,2023-01-24 04:56:31
64,Paoua,7.2427,16.4406,293.42,25,100,1.73,CF,2023-01-24 04:56:31
65,Sidi Ali,36.0998,0.4206,278.14,76,84,2.69,DZ,2023-01-24 04:56:31
66,Saint-Joseph,-21.3667,55.6167,297.36,81,100,1.88,RE,2023-01-24 04:56:32
67,Tilichiki,60.4667,166.1,256.51,92,100,5.92,RU,2023-01-24 04:56:32
68,Keti Bandar,24.1447,67.4497,291.78,25,0,2.58,PK,2023-01-24 04:56:32
69,Lokosovo,61.1333,74.8167,253.56,99,99,1.51,RU,2023-01-24 04:56:33
70,Zhengjiatun,43.5064,123.5064,254.89,31,0,5.29,CN,2023-01-24 04:56:33
71,Vaini,-21.2,-175.2,303.24,79,40,3.6,TO,2023-01-24 04:56:34
72,Kapaa,22.0752,-159.319,295.98,82,17,2.47,US,2023-01-24 04:56:34
73,Hosangadi,13.7,74.95,302.97,53,13,1.57,IN,2023-01-24 04:56:34
74,Ponta Do Sol,32.6667,-17.1,289.5,62,12,2.86,PT,2023-01-24 04:56:35
75,Vostok,46.4856,135.8833,241.08,86,100,3.75,RU,2023-01-24 04:56:35
76,Sola,-13.8833,167.55,300.84,71,70,3.19,VU,2023-01-24 04:56:35
77,Castro,-24.7911,-50.0119,289.61,95,74,1.43,BR,2023-01-24 04:56:36
78,San Ramon,37.7799,-121.978,284.9,59,2,1.3,US,2023-01-24 04:56:36
79,Koulamoutou,-1.1303,12.4736,293.86,96,57,0.51,GA,2023-01-24 04:56:36
80,Busselton,-33.65,115.3333,302.49,41,13,7.76,AU,2023-01-24 04:56:37
81,Upernavik,72.7868,-56.1549,250.56,97,100,3.65,GL,2023-01-24 04:56:37
82,Cherskiy,68.75,161.3,245.79,94,100,0.78,RU,2023-01-24 04:56:37
83,Cabinda,-5.55,12.2,298.75,81,100,1.39,AO,2023-01-24 04:56:38
84,West Plains,36.7281,-91.8524,276.53,81,65,0.89,US,2023-01-24 04:56:38
85,Fairbanks,64.8378,-147.7164,252.37,77,100,0.0,US,2023-01-24 04:53:46
86,Hobart,-42.8794,147.3294,299.07,47,20,5.14,AU,2023-01-24 04:56:38
87,Tiksi,71.6872,128.8694,239.86,100,95,1.65,RU,2023-01-24 04:57:39
88,Tuktoyaktuk,69.4541,-133.0374,246.15,76,100,4.63,CA,2023-01-24 04:57:39
89,Kavaratti,10.5669,72.642,299.64,73,65,7.5,IN,2023-01-24 04:57:40
90,Saint George,37.1041,-113.5841,275.51,53,1,2.24,US,2023-01-24 04:57:40
91,Khasan,42.4308,130.6434,256.13,52,1,11.17,RU,2023-01-24 04:57:40
92,Temba,-25.3803,28.2631,291.16,54,0,1.84,ZA,2023-01-24 04:57:41
93,Butaritari,3.0707,172.7902,300.22,79,55,7.86,KI,2023-01-24 04:57:41
94,North Bend,43.4065,-124.2243,277.63,97,25,2.8,US,2023-01-24 04:57:41
95,Manoel Urbano,-8.8389,-69.2597,295.25,99,100,1.18,BR,2023-01-24 04:57:42
96,Atuona,-9.8,-139.0333,299.36,77,9,8.79,PF,2023-01-24 04:57:42
97,Khambhaliya,22.2072,69.6683,292.74,36,3,7.23,IN,2023-01-24 04:57:42
98,Valle De Allende,26.9333,-105.4,284.31,21,16,2.92,MX,2023-01-24 04:57:43
99,Porto Novo,6.4965,2.6036,298.33,90,32,1.36,BJ,2023-01-24 04:57:43
100,Roald,62.5833,6.1333,281.53,87,75,5.66,NO,2023-01-24 04:57:43
101,Kaeo,-35.1,173.7833,293.75,82,100,4.08,NZ,2023-01-24 04:57:44
102,Dikson,73.5069,80.5464,251.06,89,100,16.77,RU,2023-01-24 04:57:44
103,Cefalu,38.0386,14.0229,281.78,63,0,3.58,IT,2023-01-24 04:57:44
104,Vagur,61.4732,-6.8119,281.4,97,100,12.77,FO,2023-01-24 04:57:45
105,Yarmouth,41.7057,-70.2286,275.18,89,100,12.07,US,2023-01-24 04:57:45
106,Kodiak,57.79,-152.4072,276.48,91,82,5.51,US,2023-01-24 04:57:45
107,Xinpu,34.5997,119.1594,267.4,14,21,8.05,CN,2023-01-24 04:57:46
108,Danane,7.2596,-8.155,293.25,99,92,0.27,CI,2023-01-24 04:57:46
109,Pangkalanbuun,-2.6833,111.6167,299.68,87,100,1.76,ID,2023-01-24 04:57:46
110,Horni Benesov,49.9668,17.6026,273.75,97,97,4.97,CZ,2023-01-24 04:57:47
111,Fortuna,40.5982,-124.1573,279.81,97,0,2.68,US,2023-01-24 04:57:47
112,Ponto Novo,-10.8628,-40.1336,295.58,78,86,1.58,BR,2023-01-24 04:57:48
113,Inirida,3.8653,-67.9239,295.69,96,100,0.67,CO,2023-01-24 04:57:48
114,Lagoa,39.05,-27.9833,288.05,79,81,9.74,PT,2023-01-24 04:57:49
115,Thompson,55.7435,-97.8558,242.24,76,0,0.0,CA,2023-01-24 04:57:49
116,Mandurah,-32.55,115.7,300.96,55,15,9.84,AU,2023-01-24 04:57:49
117,Port Said,31.2565,32.2841,289.14,77,40,2.06,EG,2023-01-24 04:57:50
118,Bay Roberts,47.5999,-53.2648,275.45,96,100,1.79,CA,2023-01-24 04:57:50
119,Padang,-0.9492,100.3543,300.18,89,100,2.34,ID,2023-01-24 04:57:51
120,Paamiut,61.994,-49.6678,270.58,83,100,7.05,GL,2023-01-24 04:57:51
121,Carnarvon,-24.8667,113.6333,301.7,60,49,5.9,AU,2023-01-24 04:57:51
122,Tezu,27.9167,96.1667,297.64,21,87,1.91,IN,2023-01-24 04:57:52
123,Westerland,54.9079,8.3033,275.16,80,100,2.06,DE,2023-01-24 04:57:52
124,Arlit,18.7369,7.3853,293.1,14,5,4.09,NE,2023-01-24 04:55:11
125,Namibe,-15.1961,12.1522,296.29,86,98,0.51,AO,2023-01-24 04:54:23
126,Sitka,57.0531,-135.33,280.09,81,100,4.63,US,2023-01-24 04:57:53
127,Poum,-20.2333,164.0167,299.87,78,100,2.43,NC,2023-01-24 04:57:53
128,Bria,6.5423,21.9863,292.91,24,100,1.37,CF,2023-01-24 04:57:53
129,Hasaki,35.7333,140.8333,283.31,58,100,6.1,JP,2023-01-24 04:57:54
130,Qaanaaq,77.484,-69.3632,249.97,69,93,2.82,GL,2023-01-24 04:57:54
131,Tasiilaq,65.6145,-37.6368,264.63,64,100,2.41,GL,2023-01-24 04:57:54
132,Port Augusta,-32.5,137.7667,303.54,35,0,9.0,AU,2023-01-24 04:57:55
133,Nantucket,41.2835,-70.0995,275.18,86,100,12.75,US,2023-01-24 04:58:55
134,Larsnes,62.2028,5.5773,281.86,88,100,6.19,NO,2023-01-24 04:58:55
135,Manggar,-2.8833,108.2667,302.48,69,99,3.66,ID,2023-01-24 04:58:56
136,Kushiro,42.975,144.3747,269.68,80,75,2.06,JP,2023-01-24 04:58:56
137,Oranjemund,-28.55,16.4333,290.31,86,0,1.37,NA,2023-01-24 04:55:18
138,Yerbogachen,61.2767,108.0108,240.12,90,76,0.6,RU,2023-01-24 04:58:56
139,Saldanha,-33.0117,17.9442,289.18,88,1,3.84,ZA,2023-01-24 04:58:57
140,North Platte,41.1239,-100.7654,271.14,91,98,4.92,US,2023-01-24 04:58:57
141,Herre,59.1,9.5667,275.41,96,100,3.08,NO,2023-01-24 04:58:58
142,San Patricio,28.017,-97.5169,291.06,72,98,7.92,US,2023-01-24 04:58:58
143,Marang,5.2056,103.2059,302.1,82,100,4.29,MY,2023-01-24 04:58:58
144,Adrar,20.5022,-10.0711,288.97,17,0,3.92,MR,2023-01-24 04:58:59
145,La Ronge,55.1001,-105.2842,259.29,85,100,4.63,CA,2023-01-24 04:58:59
146,Vila Velha,-20.3297,-40.2925,299.12,92,75,1.79,BR,2023-01-24 04:58:59
